Bauer BSM-WS36A-H01-1311-0000 Modbus Register Overview


Model Instance: Common
Model: Common
Description: All SunSpec compliant devices must include this as the first model
Notes: 

Field Type,Applicable Point,Address,Address Offset,Size,Name,Label,Value,Type,Units,Scale Factor,Access,Mandatory,Description,Notes
enum16,St,,,,VALID,Snapshot Data Valid,0,,,,,,The model instance contains valid signed data of a snapshot,
enum16,St,,,,INVALID,Snapshot Data Invalid,1,,,,,,Snapshot data is invalid. This is the case after powering on the meter.,
enum16,St,,,,UPDATING,Snapshot Data Gets Updated,2,,,,,,The snapshot gets currently updated. Snapshot data is invalid.,Write this value to trigger the creation of a new snapshot. Afterwards poll this data point until its value changes to a different symbol indicating the outcome of the update process.
enum16,St,,,,FAILED_GENERAL,Snapshot Creation Failed For Unspecified Reason,3,,,,,,Creating the snapshot failed for an unspecified reason (for example an internal error). Snapshot data is invalid.,
enum16,St,,,,FAILED_NOT_ENABLED,Snapshot Creation Failed Due To Missing Enable Signal,4,,,,,,Creating the snapshot failed due to a missing enable signal (DOE),This could happen when attempting to create a turn-on snapshot.
enum16,St,,,,FAILED_FEEDBACK,Snapshot Creation Failed Due Missing/Wrong Contactor Feedback,5,,,,,,Creating the snapshot failed due to missing or wrong feedback from the external contactor (through DI).,

bitfield32,Evt,,,,M_EVENT_Power_Failure,,2,,,,,,,
bitfield32,Evt,,,,M_EVENT_Under_Voltage,,3,,,,,,,
bitfield32,Evt,,,,M_EVENT_Low_PF,,4,,,,,,,
bitfield32,Evt,,,,M_EVENT_Over_Current,,5,,,,,,,
bitfield32,Evt,,,,M_EVENT_Over_Voltage,,6,,,,,,,
bitfield32,Evt,,,,M_EVENT_Missing_Sensor,,7,,,,,,,
bitfield32,Evt,,,,M_EVENT_Reserved1,,8,,,,,,,
bitfield32,Evt,,,,M_EVENT_Reserved2,,9,,,,,,,
bitfield32,Evt,,,,M_EVENT_Reserved3,,10,,,,,,,
bitfield32,Evt,,,,M_EVENT_Reserved4,,11,,,,,,,
bitfield32,Evt,,,,M_EVENT_Reserved5,,12,,,,,,,
bitfield32,Evt,,,,M_EVENT_Reserved6,,13,,,,,,,
bitfield32,Evt,,,,M_EVENT_Reserved7,,14,,,,,,,
bitfield32,Evt,,,,M_EVENT_Reserved8,,15,,,,,,,
bitfield32,Evt,,,,M_EVENT_Meter_Fatal_Error,Meter Fatal Error,16,,,,,,The meter module reported a fatal error,This bit summarizes the meter module's error status 'Err' from BSM model (64900). It gets set when this value differs from 0000000. This is a fatal error. Values returned by the device are no longer guaranteed to be valid.
bitfield32,Evt,,,,M_EVENT_CM_Init_Failed,Communication Module Startup Initialization Failed,17,,,,,,,This is a fatal error. Values returned by the device are no longer guaranteed to be valid. Do not consider signed data as authentic.
bitfield32,Evt,,,,M_EVENT_CM_Firmware_Hash_Mismatch,Communication Module Firmware Hash Mismatch,18,,,,,,,This is a fatal error. Values returned by the device are no longer guaranteed to be valid. Do not consider signed data as authentic.
bitfield32,Evt,,,,M_EVENT_CM_Development_Mode,Communication Module in Development Mode,19,,,,,,,This is a device in development mode. Do not consider signed data as authentic.
bitfield32,Evt,,,,M_EVENT_OEM05,,20,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM06,,21,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM07,,22,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM08,,23,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM09,,24,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM10,,25,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM11,,26,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM12,,27,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM13,,28,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM14,,29,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM15,,30,,,,,,,
bitfield32,Evt,,,,,Power Failure,,,,,,,Loss of power or phase,
bitfield32,Evt,,,,,Under Voltage,,,,,,,Voltage below threshold (Phase Loss),
bitfield32,Evt,,,,,Low PF,,,,,,,Power Factor below threshold,
bitfield32,Evt,,,,,Over Current,,,,,,,Current Input over threshold,
bitfield32,Evt,,,,,Over Voltage,,,,,,,Voltage Input over threshold,
bitfield32,Evt,,,,,Missing Sensor,,,,,,,Sensor not connected,
bitfield32,Evt,,,,,OEM05,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM06,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM07,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM08,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM09,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM10,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM11,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM12,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM13,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM14,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM15,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM16,,,,,,,Reserved for OEM use,


Model Instance: Signed End Snapshot
Model: BSM Signed Snapshot
Description: A signed snapshot of data from different model instances
Notes: See notes on 'St' for snapshot creation.

Field Type,Applicable Point,Address,Address Offset,Size,Name,Label,Value,Type,Units,Scale Factor,Access,Mandatory,Description,Notes
header,,41537,0,1,ID,Model ID,64901,uint16,,,r,true,,
header,,41538,1,1,L,Model Payload Length,252,uint16,,,r,true,,

fixed,,41539,2,1,Typ,Snapshot Type,0,enum16,,,r,false,Which snapshot type is represented by this model instance,
fixed,,41540,3,1,St,Snapshot Status,0,enum16,,,rw,false,Status of this snapshot instance,Write 'UPDATING' to this data point for triggering the creation of a new snapshot. Poll this data points afterwards until its value changes to something different from 'UPDATING'.
fixed,,41541,4,2,RCR,Real Energy Imported Since Last Turn-On Sequence,0,acc32,Wh,Wh_SF,r,false,Real energy imported since the last execution of the turn-on sequence,This value ist taken from BSM model 64900. It will be zero in snapshots for the turn-on sequence.
fixed,,41543,6,2,TotWhImp,Total Watt-hours Imported,0,acc32,Wh,Wh_SF,r,false,Total Real Energy Imported,This value is taken from AC meter model 203.
fixed,,41545,8,1,Wh_SF,,0,sunssf,,,r,false,Real energy scale factor,
fixed,,41546,9,1,W,Watts,0,int16,W,W_SF,r,false,Total Real Power,This value is taken from AC meter model 203.
fixed,,41547,10,1,W_SF,,0,sunssf,,,r,false,Real Power scale factor,This value is taken from AC meter model 203.
fixed,,41548,11,8,MA1,Meter Address 1,,string,,,r,false,,This value is taken from BSM meter model 64900.
fixed,,41556,19,2,RCnt,Response Counter,0,uint32,,,r,false,A counter incremented with each snapshot,This is a counter which gets incremented with each created snapshot and used among all snapshot instances. You can find the last assigned value in the BSM meter model 64900.
fixed,,41558,21,2,OS,Operation-Seconds Counter,0,uint32,s,,r,false,,This value is taken from BSM meter model 64900.
fixed,,41560,23,2,Epoch,Current Epoch Time,0,uint32,s,,r,false,Current local time in seconds since 1970,This value is taken from BSM meter model 64900.
fixed,,41562,25,1,TZO,Timezone Offset,0,int16,min,,r,false,Timezone offset of local epoch time time to UTC,"Positive values refer to time zones east/ahead of UTC, negative values to time zones west/behind of UTC. This value is taken from BSM meter model 64900."
fixed,,41563,26,2,EpochSetCnt,Time Set Counter,0,uint32,,,r,false,How many time epoch time and timezone offset have been set,This value is taken from BSM meter model 64900.
fixed,,41565,28,2,EpochSetOS,Time Last Set At Operation-Seconds,0,uint32,s,,r,false,Operation-seconds when the time has been set the last time,This value is taken from BSM meter model 64900.
fixed,,41567,30,1,DI,Digital Input State,0,uint16,,,r,false,Status of the digital inputs,This value is taken from BSM meter model 64900.
fixed,,41568,31,1,DO,Digital Output State,0,uint16,,,r,false,Status of the digital outputs,This value is taken from BSM meter model 64900.
fixed,,41569,32,70,Meta1,Metadata 1,,string,,,r,false,User metadata 1,This value is taken from BSM meter model 64900.
fixed,,41639,102,50,Meta2,Metadata 2,,string,,,r,false,User metadata 2,This value is taken from BSM meter model 64900.
fixed,,41689,152,50,Meta3,Metadata 3,,string,,,r,false,User metadata 3,This value is taken from BSM meter model 64900.
fixed,,41739,202,2,Evt,Events,0,bitfield32,,,r,false,Meter Event Flags,This value is taken from AC meter model 203.
fixed,,41741,204,1,NSig,Number Of Signature Registers,0,uint16,,,r,false,The number of registers of the signature BLOB area,This is the space acutally reserved in Sig. The signature data's actual length is given in bytes by BSig.
fixed,,41742,205,1,BSig,Number Of Signature Bytes,0,uint16,,,r,false,Number of bytes actually representing signature data in Sig.,

repeating,,41743,0,1,Sig,Digital Signature,0,uint16,,,r,false,The snapshot's ECDSA signature,"The signature takes up the first BSig bytes from this block, interpreting the individual registers as big endian. It is encoded as DER according to RFC 4492."

enum16,Typ,,,,CURRENT,Signed Current Snapshot,0,,,,,,Signed snapshot of the current meter data at the time of its creation,Creating this snapshot just collects and signs the data. No further action is taken.
enum16,Typ,,,,TURN_ON,Signed Turn-On Snapshot,1,,,,,,Signed snapshot created during executing the turn-on sequence for an external contactor,Creating this snapshot executes the turn-on sequence for an external contactor. Its data is taken with the contactor turned off.
enum16,Typ,,,,TURN_OFF,Signed Turn-Off Snapshot,2,,,,,,Signed snapshot created during the execution of the turn-off sequence for an external contactor,Creating this snapshot executes the turn-on sequence for an external contactor. Its data is taken after turning the contactor off.
enum16,Typ,,,,START,Signed Start Snapshot,3,,,,,,Signed snapshot marking the start of a charging process without executing the turn-on sequence for an external contactor.,
enum16,Typ,,,,END,Signed End Snapshot,4,,,,,,Signed snapshot marking the end of a charging process without executing the turn-off sequence for an external contactor,

enum16,St,,,,VALID,Snapshot Data Valid,0,,,,,,The model instance contains valid signed data of a snapshot,
enum16,St,,,,INVALID,Snapshot Data Invalid,1,,,,,,Snapshot data is invalid. This is the case after powering on the meter.,
enum16,St,,,,UPDATING,Snapshot Data Gets Updated,2,,,,,,The snapshot gets currently updated. Snapshot data is invalid.,Write this value to trigger the creation of a new snapshot. Afterwards poll this data point until its value changes to a different symbol indicating the outcome of the update process.
enum16,St,,,,FAILED_GENERAL,Snapshot Creation Failed For Unspecified Reason,3,,,,,,Creating the snapshot failed for an unspecified reason (for example an internal error). Snapshot data is invalid.,
enum16,St,,,,FAILED_NOT_ENABLED,Snapshot Creation Failed Due To Missing Enable Signal,4,,,,,,Creating the snapshot failed due to a missing enable signal (DOE),This could happen when attempting to create a turn-on snapshot.
enum16,St,,,,FAILED_FEEDBACK,Snapshot Creation Failed Due Missing/Wrong Contactor Feedback,5,,,,,,Creating the snapshot failed due to missing or wrong feedback from the external contactor (through DI).,

bitfield32,Evt,,,,M_EVENT_Power_Failure,,2,,,,,,,
bitfield32,Evt,,,,M_EVENT_Under_Voltage,,3,,,,,,,
bitfield32,Evt,,,,M_EVENT_Low_PF,,4,,,,,,,
bitfield32,Evt,,,,M_EVENT_Over_Current,,5,,,,,,,
bitfield32,Evt,,,,M_EVENT_Over_Voltage,,6,,,,,,,
bitfield32,Evt,,,,M_EVENT_Missing_Sensor,,7,,,,,,,
bitfield32,Evt,,,,M_EVENT_Reserved1,,8,,,,,,,
bitfield32,Evt,,,,M_EVENT_Reserved2,,9,,,,,,,
bitfield32,Evt,,,,M_EVENT_Reserved3,,10,,,,,,,
bitfield32,Evt,,,,M_EVENT_Reserved4,,11,,,,,,,
bitfield32,Evt,,,,M_EVENT_Reserved5,,12,,,,,,,
bitfield32,Evt,,,,M_EVENT_Reserved6,,13,,,,,,,
bitfield32,Evt,,,,M_EVENT_Reserved7,,14,,,,,,,
bitfield32,Evt,,,,M_EVENT_Reserved8,,15,,,,,,,
bitfield32,Evt,,,,M_EVENT_Meter_Fatal_Error,Meter Fatal Error,16,,,,,,The meter module reported a fatal error,This bit summarizes the meter module's error status 'Err' from BSM model (64900). It gets set when this value differs from 0000000. This is a fatal error. Values returned by the device are no longer guaranteed to be valid.
bitfield32,Evt,,,,M_EVENT_CM_Init_Failed,Communication Module Startup Initialization Failed,17,,,,,,,This is a fatal error. Values returned by the device are no longer guaranteed to be valid. Do not consider signed data as authentic.
bitfield32,Evt,,,,M_EVENT_CM_Firmware_Hash_Mismatch,Communication Module Firmware Hash Mismatch,18,,,,,,,This is a fatal error. Values returned by the device are no longer guaranteed to be valid. Do not consider signed data as authentic.
bitfield32,Evt,,,,M_EVENT_CM_Development_Mode,Communication Module in Development Mode,19,,,,,,,This is a device in development mode. Do not consider signed data as authentic.
bitfield32,Evt,,,,M_EVENT_OEM05,,20,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM06,,21,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM07,,22,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM08,,23,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM09,,24,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM10,,25,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM11,,26,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM12,,27,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM13,,28,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM14,,29,,,,,,,
bitfield32,Evt,,,,M_EVENT_OEM15,,30,,,,,,,
bitfield32,Evt,,,,,Power Failure,,,,,,,Loss of power or phase,
bitfield32,Evt,,,,,Under Voltage,,,,,,,Voltage below threshold (Phase Loss),
bitfield32,Evt,,,,,Low PF,,,,,,,Power Factor below threshold,
bitfield32,Evt,,,,,Over Current,,,,,,,Current Input over threshold,
bitfield32,Evt,,,,,Over Voltage,,,,,,,Voltage Input over threshold,
bitfield32,Evt,,,,,Missing Sensor,,,,,,,Sensor not connected,
bitfield32,Evt,,,,,OEM05,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM06,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM07,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM08,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM09,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM10,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM11,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM12,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM13,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM14,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM15,,,,,,,Reserved for OEM use,
bitfield32,Evt,,,,,OEM16,,,,,,,Reserved for OEM use,


Model Instance: OCMF Signed Current Snapshot
Model: BSM Signed OCMF Data
"Description: An OCMF representation of a BSM Signed Snapshot (model ID 64901). Signed snapshots and their OCMF representations are matched by the 'Typ' data point. The OCMF representation contains selected data from the underlying snapshot. For example, 'Meta1' is taken as identity information and the other metadata data points are omitted."
"Notes: Use the underlying snapshot's 'St' data point for creating snapshot data. Once the snapshot is valid, you could read its OCMF representation from here."

Field Type,Applicable Point,Address,Address Offset,Size,Name,Label,Value,Type,Units,Scale Factor,Access,Mandatory,Description,Notes
header,,41791,0,1,ID,Model ID,64903,uint16,,,r,true,,
header,,41792,1,1,L,Model Payload Length,498,uint16,,,r,true,,

fixed,,41793,2,1,Typ,Snapshot Type,0,enum16,,,r,false,Which snapshot type is represented by this model instance,
fixed,,41794,3,1,St,Snapshot Status,0,enum16,,,r,false,Status of this snapshot instance,Write to the underlying snapshot's data point 'St' to trigger an update. 'St' is read-only here.
fixed,,41795,4,496,O,OCMF,,string,,,r,false,OCMF representation of the snapshot indicated by 'Typ',See https://github.com/SAFE-eV/OCMF-Open-Charge-Metering-Format/blob/e1c25620533400405340cfddc0dc71574939f1c5/OCMF-de.md for more information about OCMF.

enum16,Typ,,,,CURRENT,Signed Current Snapshot,0,,,,,,Signed snapshot of the current meter data at the time of its creation,Creating this snapshot just collects and signs the data. No further action is taken.
enum16,Typ,,,,TURN_ON,Signed Turn-On Snapshot,1,,,,,,Signed snapshot created during executing the turn-on sequence for an external contactor,Creating this snapshot executes the turn-on sequence for an external contactor. Its data is taken with the contactor turned off.
enum16,Typ,,,,TURN_OFF,Signed Turn-Off Snapshot,2,,,,,,Signed snapshot created during the execution of the turn-off sequence for an external contactor,Creating this snapshot executes the turn-on sequence for an external contactor. Its data is taken after turning the contactor off.
enum16,Typ,,,,START,Signed Start Snapshot,3,,,,,,Signed snapshot marking the start of a charging process without executing the turn-on sequence for an external contactor.,
enum16,Typ,,,,END,Signed End Snapshot,4,,,,,,Signed snapshot marking the end of a charging process without executing the turn-off sequence for an external contactor,

enum16,St,,,,VALID,Snapshot Data Valid,0,,,,,,The model instance contains valid signed data of a snapshot,
enum16,St,,,,INVALID,Snapshot Data Invalid,1,,,,,,Snapshot data is invalid. This is the case after powering on the meter.,
enum16,St,,,,UPDATING,Snapshot Data Gets Updated,2,,,,,,The snapshot gets currently updated. Snapshot data is invalid.,Write this value to the underlying snapshot's data point 'St' to trigger the creation of a new snapshot. Afterwards poll this data point until its value changes to a different symbol indicating the outcome of the update process.
enum16,St,,,,FAILED_GENERAL,Snapshot Creation Failed For Unspecified Reason,3,,,,,,Creating the snapshot failed due to an issue with rendering OCMF data for an unspecified reason (for example an internal error). Snapshot data is invalid.,
enum16,St,,,,FAILED_NOT_ENABLED,Snapshot Creation Failed Due To Missing Enable Signal,4,,,,,,Creating the snapshot failed due to a missing enable signal (DOE),This could happen when attempting to create a turn-on snapshot.
enum16,St,,,,FAILED_FEEDBACK,Snapshot Creation Failed Due Missing/Wrong Contactor Feedback,5,,,,,,Creating the snapshot failed due to missing or wrong feedback from the external contactor (through DI).,


Model Instance: OCMF Signed Turn-On Snapshot
Model: BSM Signed OCMF Data
"Description: An OCMF representation of a BSM Signed Snapshot (model ID 64901). Signed snapshots and their OCMF representations are matched by the 'Typ' data point. The OCMF representation contains selected data from the underlying snapshot. For example, 'Meta1' is taken as identity information and the other metadata data points are omitted."
"Notes: Use the underlying snapshot's 'St' data point for creating snapshot data. Once the snapshot is valid, you could read its OCMF representation from here."

Field Type,Applicable Point,Address,Address Offset,Size,Name,Label,Value,Type,Units,Scale Factor,Access,Mandatory,Description,Notes
header,,42291,0,1,ID,Model ID,64903,uint16,,,r,true,,
header,,42292,1,1,L,Model Payload Length,498,uint16,,,r,true,,

fixed,,42293,2,1,Typ,Snapshot Type,0,enum16,,,r,false,Which snapshot type is represented by this model instance,
fixed,,42294,3,1,St,Snapshot Status,0,enum16,,,r,false,Status of this snapshot instance,Write to the underlying snapshot's data point 'St' to trigger an update. 'St' is read-only here.
fixed,,42295,4,496,O,OCMF,,string,,,r,false,OCMF representation of the snapshot indicated by 'Typ',See https://github.com/SAFE-eV/OCMF-Open-Charge-Metering-Format/blob/e1c25620533400405340cfddc0dc71574939f1c5/OCMF-de.md for more information about OCMF.

enum16,Typ,,,,CURRENT,Signed Current Snapshot,0,,,,,,Signed snapshot of the current meter data at the time of its creation,Creating this snapshot just collects and signs the data. No further action is taken.
enum16,Typ,,,,TURN_ON,Signed Turn-On Snapshot,1,,,,,,Signed snapshot created during executing the turn-on sequence for an external contactor,Creating this snapshot executes the turn-on sequence for an external contactor. Its data is taken with the contactor turned off.
enum16,Typ,,,,TURN_OFF,Signed Turn-Off Snapshot,2,,,,,,Signed snapshot created during the execution of the turn-off sequence for an external contactor,Creating this snapshot executes the turn-on sequence for an external contactor. Its data is taken after turning the contactor off.
enum16,Typ,,,,START,Signed Start Snapshot,3,,,,,,Signed snapshot marking the start of a charging process without executing the turn-on sequence for an external contactor.,
enum16,Typ,,,,END,Signed End Snapshot,4,,,,,,Signed snapshot marking the end of a charging process without executing the turn-off sequence for an external contactor,

enum16,St,,,,VALID,Snapshot Data Valid,0,,,,,,The model instance contains valid signed data of a snapshot,
enum16,St,,,,INVALID,Snapshot Data Invalid,1,,,,,,Snapshot data is invalid. This is the case after powering on the meter.,
enum16,St,,,,UPDATING,Snapshot Data Gets Updated,2,,,,,,The snapshot gets currently updated. Snapshot data is invalid.,Write this value to the underlying snapshot's data point 'St' to trigger the creation of a new snapshot. Afterwards poll this data point until its value changes to a different symbol indicating the outcome of the update process.
enum16,St,,,,FAILED_GENERAL,Snapshot Creation Failed For Unspecified Reason,3,,,,,,Creating the snapshot failed due to an issue with rendering OCMF data for an unspecified reason (for example an internal error). Snapshot data is invalid.,
enum16,St,,,,FAILED_NOT_ENABLED,Snapshot Creation Failed Due To Missing Enable Signal,4,,,,,,Creating the snapshot failed due to a missing enable signal (DOE),This could happen when attempting to create a turn-on snapshot.
enum16,St,,,,FAILED_FEEDBACK,Snapshot Creation Failed Due Missing/Wrong Contactor Feedback,5,,,,,,Creating the snapshot failed due to missing or wrong feedback from the external contactor (through DI).,


Model Instance: OCMF Signed Turn-Off Snapshot
Model: BSM Signed OCMF Data
"Description: An OCMF representation of a BSM Signed Snapshot (model ID 64901). Signed snapshots and their OCMF representations are matched by the 'Typ' data point. The OCMF representation contains selected data from the underlying snapshot. For example, 'Meta1' is taken as identity information and the other metadata data points are omitted."
"Notes: Use the underlying snapshot's 'St' data point for creating snapshot data. Once the snapshot is valid, you could read its OCMF representation from here."

Field Type,Applicable Point,Address,Address Offset,Size,Name,Label,Value,Type,Units,Scale Factor,Access,Mandatory,Description,Notes
header,,42791,0,1,ID,Model ID,64903,uint16,,,r,true,,
header,,42792,1,1,L,Model Payload Length,498,uint16,,,r,true,,

fixed,,42793,2,1,Typ,Snapshot Type,0,enum16,,,r,false,Which snapshot type is represented by this model instance,
fixed,,42794,3,1,St,Snapshot Status,0,enum16,,,r,false,Status of this snapshot instance,Write to the underlying snapshot's data point 'St' to trigger an update. 'St' is read-only here.
fixed,,42795,4,496,O,OCMF,,string,,,r,false,OCMF representation of the snapshot indicated by 'Typ',See https://github.com/SAFE-eV/OCMF-Open-Charge-Metering-Format/blob/e1c25620533400405340cfddc0dc71574939f1c5/OCMF-de.md for more information about OCMF.

enum16,Typ,,,,CURRENT,Signed Current Snapshot,0,,,,,,Signed snapshot of the current meter data at the time of its creation,Creating this snapshot just collects and signs the data. No further action is taken.
enum16,Typ,,,,TURN_ON,Signed Turn-On Snapshot,1,,,,,,Signed snapshot created during executing the turn-on sequence for an external contactor,Creating this snapshot executes the turn-on sequence for an external contactor. Its data is taken with the contactor turned off.
enum16,Typ,,,,TURN_OFF,Signed Turn-Off Snapshot,2,,,,,,Signed snapshot created during the execution of the turn-off sequence for an external contactor,Creating this snapshot executes the turn-on sequence for an external contactor. Its data is taken after turning the contactor off.
enum16,Typ,,,,START,Signed Start Snapshot,3,,,,,,Signed snapshot marking the start of a charging process without executing the turn-on sequence for an external contactor.,
enum16,Typ,,,,END,Signed End Snapshot,4,,,,,,Signed snapshot marking the end of a charging process without executing the turn-off sequence for an external contactor,

enum16,St,,,,VALID,Snapshot Data Valid,0,,,,,,The model instance contains valid signed data of a snapshot,
enum16,St,,,,INVALID,Snapshot Data Invalid,1,,,,,,Snapshot data is invalid. This is the case after powering on the meter.,
enum16,St,,,,UPDATING,Snapshot Data Gets Updated,2,,,,,,The snapshot gets currently updated. Snapshot data is invalid.,Write this value to the underlying snapshot's data point 'St' to trigger the creation of a new snapshot. Afterwards poll this data point until its value changes to a different symbol indicating the outcome of the update process.
enum16,St,,,,FAILED_GENERAL,Snapshot Creation Failed For Unspecified Reason,3,,,,,,Creating the snapshot failed due to an issue with rendering OCMF data for an unspecified reason (for example an internal error). Snapshot data is invalid.,
enum16,St,,,,FAILED_NOT_ENABLED,Snapshot Creation Failed Due To Missing Enable Signal,4,,,,,,Creating the snapshot failed due to a missing enable signal (DOE),This could happen when attempting to create a turn-on snapshot.
enum16,St,,,,FAILED_FEEDBACK,Snapshot Creation Failed Due Missing/Wrong Contactor Feedback,5,,,,,,Creating the snapshot failed due to missing or wrong feedback from the external contactor (through DI).,


Model Instance: OCMF Signed Start Snapshot
Model: BSM Signed OCMF Data
"Description: An OCMF representation of a BSM Signed Snapshot (model ID 64901). Signed snapshots and their OCMF representations are matched by the 'Typ' data point. The OCMF representation contains selected data from the underlying snapshot. For example, 'Meta1' is taken as identity information and the other metadata data points are omitted."
"Notes: Use the underlying snapshot's 'St' data point for creating snapshot data. Once the snapshot is valid, you could read its OCMF representation from here."

Field Type,Applicable Point,Address,Address Offset,Size,Name,Label,Value,Type,Units,Scale Factor,Access,Mandatory,Description,Notes
header,,43291,0,1,ID,Model ID,64903,uint16,,,r,true,,
header,,43292,1,1,L,Model Payload Length,498,uint16,,,r,true,,

fixed,,43293,2,1,Typ,Snapshot Type,0,enum16,,,r,false,Which snapshot type is represented by this model instance,
fixed,,43294,3,1,St,Snapshot Status,0,enum16,,,r,false,Status of this snapshot instance,Write to the underlying snapshot's data point 'St' to trigger an update. 'St' is read-only here.
fixed,,43295,4,496,O,OCMF,,string,,,r,false,OCMF representation of the snapshot indicated by 'Typ',See https://github.com/SAFE-eV/OCMF-Open-Charge-Metering-Format/blob/e1c25620533400405340cfddc0dc71574939f1c5/OCMF-de.md for more information about OCMF.

enum16,Typ,,,,CURRENT,Signed Current Snapshot,0,,,,,,Signed snapshot of the current meter data at the time of its creation,Creating this snapshot just collects and signs the data. No further action is taken.
enum16,Typ,,,,TURN_ON,Signed Turn-On Snapshot,1,,,,,,Signed snapshot created during executing the turn-on sequence for an external contactor,Creating this snapshot executes the turn-on sequence for an external contactor. Its data is taken with the contactor turned off.
enum16,Typ,,,,TURN_OFF,Signed Turn-Off Snapshot,2,,,,,,Signed snapshot created during the execution of the turn-off sequence for an external contactor,Creating this snapshot executes the turn-on sequence for an external contactor. Its data is taken after turning the contactor off.
enum16,Typ,,,,START,Signed Start Snapshot,3,,,,,,Signed snapshot marking the start of a charging process without executing the turn-on sequence for an external contactor.,
enum16,Typ,,,,END,Signed End Snapshot,4,,,,,,Signed snapshot marking the end of a charging process without executing the turn-off sequence for an external contactor,

enum16,St,,,,VALID,Snapshot Data Valid,0,,,,,,The model instance contains valid signed data of a snapshot,
enum16,St,,,,INVALID,Snapshot Data Invalid,1,,,,,,Snapshot data is invalid. This is the case after powering on the meter.,
enum16,St,,,,UPDATING,Snapshot Data Gets Updated,2,,,,,,The snapshot gets currently updated. Snapshot data is invalid.,Write this value to the underlying snapshot's data point 'St' to trigger the creation of a new snapshot. Afterwards poll this data point until its value changes to a different symbol indicating the outcome of the update process.
enum16,St,,,,FAILED_GENERAL,Snapshot Creation Failed For Unspecified Reason,3,,,,,,Creating the snapshot failed due to an issue with rendering OCMF data for an unspecified reason (for example an internal error). Snapshot data is invalid.,
enum16,St,,,,FAILED_NOT_ENABLED,Snapshot Creation Failed Due To Missing Enable Signal,4,,,,,,Creating the snapshot failed due to a missing enable signal (DOE),This could happen when attempting to create a turn-on snapshot.
enum16,St,,,,FAILED_FEEDBACK,Snapshot Creation Failed Due Missing/Wrong Contactor Feedback,5,,,,,,Creating the snapshot failed due to missing or wrong feedback from the external contactor (through DI).,


Model Instance: OCMF Signed End Snapshot
Model: BSM Signed OCMF Data
"Description: An OCMF representation of a BSM Signed Snapshot (model ID 64901). Signed snapshots and their OCMF representations are matched by the 'Typ' data point. The OCMF representation contains selected data from the underlying snapshot. For example, 'Meta1' is taken as identity information and the other metadata data points are omitted."
"Notes: Use the underlying snapshot's 'St' data point for creating snapshot data. Once the snapshot is valid, you could read its OCMF representation from here."

Field Type,Applicable Point,Address,Address Offset,Size,Name,Label,Value,Type,Units,Scale Factor,Access,Mandatory,Description,Notes
header,,43791,0,1,ID,Model ID,64903,uint16,,,r,true,,
header,,43792,1,1,L,Model Payload Length,498,uint16,,,r,true,,

